;Unnamed: 0;Stock;Description;Model;Loss;MSE;RMSE;MAE;MAPE;R²
71;15;ITUB4;Stock Data + IFR + MMS + MME;model_3;0.0001834383001551;0.0004860667500343;0.0220469215545932;0.0158830909475443;22.767.512.544.304.500;0.9681871321383336
72;16;PETR4;Google News + Twitter + IFR + MMS;model_3;0.0001959901564987;0.000346616119374;0.0186176292629868;0.0123341422180117;2.768.264.592.030.170;0.9656515308776128
73;17;VALE3;Google News + Twitter + IFR + MMS;model_3;0.0002565043978393;0.004105467368484;0.0640739211261805;0.0448657007893647;3.578.703.906.617.080;0.8893958952712978
74;18;BBDC4;Google News + Twitter + IFR + MMS;model_3;0.0003587822429835;0.0005696581411664;0.0238675122534045;0.0173994223199809;27.463.070.785.263.100;0.9671824699741842
75;19;ITUB4;Google News + Twitter + IFR + MMS;model_3;0.0001996142818825;0.0004621303866375;0.0214972181139221;0.0155704447537711;2.250.876.248.910.960;0.9697537572279512
76;20;PETR4;Google News + Twitter + IFR + MME;model_3;0.0001967300631804;0.0003588423672573;0.0189431350957908;0.0125370625666199;2.747.341.808.744.150;0.9644399516277424
77;21;VALE3;Google News + Twitter + IFR + MME;model_3;0.00026467393036;0.007026020868466;0.0838213628406629;0.0584052449350367;3.445.158.880.009.640;0.8107141822810724
78;22;BBDC4;Google News + Twitter + IFR + MME;model_3;0.0003532364789862;0.0006131564863471;0.0247619968166372;0.0174270772814247;27.299.926.860.112.200;0.9646765666158664
79;23;ITUB4;Google News + Twitter + IFR + MME;model_3;0.0002047622256213;0.0005292210412413;0.0230048047425176;0.0162706280724474;2.236.148.996.879.430;0.9653627016177636
80;24;PETR4;Google News + Twitter + IFR + MME + MMS;model_3;0.0002135742688551;0.0003692523887675;0.0192159410065588;0.0126442957676758;2.754.359.351.771.260;0.9634083541848676
81;25;VALE3;Google News + Twitter + IFR + MME + MMS;model_3;0.0002976362011395;0.0090587016259354;0.0951772116944779;0.0661194948578197;3.394.205.663.152.240;0.7559523695079308
82;26;BBDC4;Google News + Twitter + IFR + MME + MMS;model_3;0.0003614742017816;0.0005629000801805;0.0237255153828221;0.0173853045518119;27.373.643.915.995.500;0.9675717962267092
83;27;ITUB4;Google News + Twitter + IFR + MME + MMS;model_3;0.0002101670397678;0.0005157291986272;0.0227096719180902;0.0161128741072179;22.503.422.147.598.200;0.9662457371396572
84;0;PETR4;Stock Data;model_4;;0.0002708981530163;0.016458983960631;0.0109616950226428;26.196.785.466.633.400;0.9731549217589855
85;1;VALE3;Stock Data;model_4;;0.0735769420451005;0.2712506996214029;0.2583591970998958;4.214.912.298.943.380;-0.9822132471555808
86;2;BBDC4;Stock Data;model_4;;0.0004834344138015;0.0219871420107645;0.0157099068783988;3.119.241.647.431.230;0.9721497469377702
87;3;ITUB4;Stock Data;model_4;;0.0003630730114693;0.0190544748410808;0.0137939623413092;23.353.886.873.846.300;0.9762370214848154
88;4;PETR4;Stock Data + Google News;model_4;;0.0014145638052179;0.0376106873802903;0.0308349458619204;699.998.702.050.326;0.8598215764664292
89;5;VALE3;Stock Data + Google News;model_4;;0.0851026343101385;0.2917235580307811;0.2786218371330786;456.941.604.209.029;-1.292.723.296.301.040
90;6;BBDC4;Stock Data + Google News;model_4;;0.0004845670900332;0.0220128846368044;0.0157456379612027;3.122.421.811.465.690;0.9720844944054912
91;7;ITUB4;Stock Data + Google News;model_4;;0.0060124879152238;0.0775402341705509;0.0647328469058129;10.760.295.867.386.300;0.6064851513637763
92;8;PETR4;Stock Data + Twitter;model_4;;0.0002720706118828;0.0164945631006959;0.0110237654007629;2.628.870.322.535.630;0.973038735104865
93;9;VALE3;Stock Data + Twitter;model_4;;0.0749697349066597;0.2738060169292482;0.2611194763925173;4.266.933.960.052.260;-1.019.736.041.443.960
94;10;BBDC4;Stock Data + Twitter;model_4;;0.0020078087438274;0.0448085789088144;0.0347803537472538;6.822.719.586.196.160;0.8843318141618491
95;11;ITUB4;Stock Data + Twitter;model_4;;0.0005842425303938;0.0241711094158677;0.0185625885740909;31.122.998.922.736.500;0.9617615678972689
96;12;PETR4;Stock Data + IFR + MMS + MME;model_4;;0.0060810759081929;0.0779812535690017;0.073154744552517;16.564.085.148.685.000;0.3973862253126605
